# .PCD v.7 - Point Cloud Data file format
VERSION .7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 54272
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 54272
DATA ascii
 -46.637943 -227.0842 745.0
 -46.450134 -222.10909 742.0
 -46.26233 -217.1668 739.0
 -46.137127 -212.54575 737.0
 -46.011925 -207.9466 735.0
 -45.949326 -203.64676 734.0
 -45.824123 -199.0859 732.0
 -45.69892 -194.54695 730.0
 -45.573715 -190.02989 728.0
 -45.511116 -185.79028 727.0
 -45.448513 -181.5616 726.0
 -45.26071 -176.85464 723.0
 -45.26071 -172.89795 723.0
 -45.072906 -168.24023 720.0
 -45.072906 -164.29996 720.0
 -45.072906 -160.35966 720.0
 -45.13551 -156.63663 721.0
 -45.010307 -152.26733 719.0
 -45.072906 -148.53882 720.0
 -45.13551 -144.79936 721.0
 -44.947704 -140.26755 718.0
 -45.010307 -136.52809 719.0
 -45.13551 -132.9621 721.0
 -44.885105 -128.30058 717.0
 -44.759903 -124.029785 715.0
 -44.759903 -120.11687 715.0
 -44.572098 -115.71637 712.0
 -44.446896 -111.505775 710.0
 -44.446896 -107.62022 710.0
 -44.572098 -104.02687 712.0
 -44.572098 -100.13036 712.0
 -44.6347 -96.36902 713.0
 -44.5095 -92.20767 711.0
 -44.446896 -88.19244 710.0
 -44.5095 -84.42561 711.0
 -44.446896 -80.42132 710.0
 -44.384293 -76.42796 709.0
 -44.321693 -72.44556 708.0
 -44.19649 -68.37724 706.0
 -44.07129 -64.33082 704.0
 -43.946087 -60.306286 702.0
 -43.883484 -56.384075 701.0
 -43.820885 -52.472813 700.0
 -43.75828 -48.57249 699.0
 -43.570477 -44.555084 696.0
 -43.507877 -40.687603 695.0
 -43.507877 -36.884136 695.0
 -43.382675 -32.98547 693.0
 -43.19487 -29.066572 690.0
 -43.069668 -25.217161 688.0
 -43.069668 -21.452002 688.0
 -42.944466 -17.63543 686.0
 -42.944466 -13.881215 686.0
 -42.694057 -10.06795 682.0
 -42.75666 -6.344917 683.0
 -42.63146 -2.5994866 681.0
 -42.63146 1.1273644 681.0
 -42.63146 4.854215 681.0
 -42.568855 8.568465 680.0
 -42.568855 12.289844 680.0
 -42.506256 15.987676 679.0
 -42.381054 19.645544 677.0
 -42.381054 23.350506 677.0
 -42.25585 26.975538 675.0
 -42.13065 30.57868 673.0
 -42.193253 34.31266 674.0
 -42.193253 38.0012 674.0
 -42.13065 41.62789 673.0
 -42.005444 45.176304 671.0
 -42.068047 48.92123 672.0
 -42.005444 52.520554 671.0
 -41.88024 56.025192 669.0
 -41.817642 59.597153 668.0
 -41.88024 63.34755 669.0
 -41.75504 66.8084 667.0
 -41.817642 70.56427 668.0
 -41.69244 73.997765 666.0
 -41.629837 77.52595 665.0
 -41.504635 80.92113 663.0
 -41.442036 84.42195 662.0
 -41.442036 88.04482 662.0
 -41.379433 91.52922 661.0
 -41.379433 95.14662 661.0
 -41.316833 98.6146 660.0
 -41.25423 102.07164 659.0
 -41.191628 105.51773 658.0
 -41.066425 108.78705 656.0
 -41.003826 112.20577 655.0
 -41.003826 115.79034 655.0
 -41.003826 119.3749 655.0
 -40.878624 122.584015 653.0
 -40.75342 125.77123 651.0
 -40.75342 129.33391 651.0
 -40.75342 132.89658 651.0
 -40.75342 136.45926 651.0
 -40.81602 140.23701 652.0
 -40.81602 143.80516 652.0
 -40.69082 146.92123 650.0
 -40.62822 150.24693 649.0
 -40.69082 154.03563 650.0
 -40.75342 157.83528 651.0
 -40.69082 161.15004 650.0
 -40.69082 164.70723 650.0
 -40.69082 168.26443 650.0
 -40.62822 171.5573 649.0
 -40.62822 175.10902 649.0
 -40.565617 178.38547 648.0
 -40.503017 181.65096 647.0
 -40.565617 185.47798 648.0
 -40.440414 188.44083 646.0
 -40.37781 191.67894 645.0
 -40.440414 195.51144 646.0
 -40.37781 198.73862 645.0
 -40.37781 202.26845 645.0
 -40.25261 205.16017 643.0
 -40.19001 208.3545 642.0
 -40.19001 211.86794 642.0
 -40.25261 215.71684 643.0
 -40.127407 218.55382 641.0
 -40.19001 222.40819 642.0
 -40.127407 225.56972 641.0
 -40.064808 228.72028 640.0
 -39.939606 231.49706 638.0
 -39.814404 234.25194 636.0
 -39.814404 237.73251 636.0
 -39.877003 241.59238 637.0
 -39.814404 244.69368 636.0
 -39.939606 248.9547 638.0
 -40.064808 253.2376 640.0
 -40.002205 256.33893 639.0
 -39.7518 258.2094 635.0
 -39.7518 261.6845 635.0
 -39.7518 265.1596 635.0
 -39.6266 267.78864 633.0
 -39.501396 270.39575 631.0
 -39.563995 274.283 632.0
 -39.501396 277.3022 631.0
 -39.31359 279.42062 628.0
 -39.501396 284.20865 631.0
 -39.501396 287.66187 631.0
 -39.563995 291.57645 632.0
 -39.877003 297.36926 637.0
 -40.127407 302.74454 641.0
 -40.127407 306.25247 641.0
 -40.064808 309.27716 640.0
 -40.19001 313.75708 642.0
 -40.25261 317.7647 643.0
 -40.127407 320.28427 641.0
 -40.25261 324.8025 643.0
 -40.25261 328.32138 643.0
 -40.315212 332.35635 644.0
 -40.503017 337.44537 647.0
 -40.62822 342.0402 649.0
 -40.69082 346.12445 650.0
 -40.81602 350.75757 652.0
 -41.12903 357.04294 657.0
 -41.379433 362.83414 661.0
 -41.75504 369.77786 667.0
 -42.13065 376.78723 673.0
 -42.63146 384.993 681.0
 -43.19487 393.85715 690.0
 -43.445274 399.93832 694.0
 -43.633076 405.48163 697.0
 -43.695683 409.88324 698.0
